a 日
bjmf 腙
bjmo 腚
bjmu 脘
bjnu 腕
bjoc 膑
bjtc 膹
bjti 臗
bjv 胺
bjwj 軍
bk 冈
bkcf 膫
bkcor 谿
bkd 胨
bkf 然
bkhaf 鷄
bki 肱
bkk 网
bkkb 脪
bkln 刚
bklu 腌
bkmlw 羀
bkms 胯
bkn 胰
bkog 雞
bkoo 脥
bkpym 䴗
bkq 军
bks 肋
bksc 胁
bl 肿
blln 胇
bllv 膢
blmc 膭
blmy 腓
bln 刖
blwl 胂
blxh 胏
bm 且
bmbb 臑
bmbg 臛
bmbk 腝
bmbl 胹
bmbm 膤
bmbs 膤
bmbu 脜
bmf 肧
bmfj 胓
bmfm 胚
bmfr 脴
bmhaf 鴡
bmi 县
bmig 胵
bmj 肝
bmke 爰
bmks 助
bmlb 脼
bmln 删
bmmc 具
bmms 肟
bmmu 朊
bmmv 脤
bmog 雎
bmr 同
bmrb 膈
bmrt 脰
bmrw 腷
bmso 豚
bmui 冠
bmvm 脛
bmwf 膘
bmwl 腼
bmwv 腰
bn 肊
bnai 冤
bnau 脃
bncr 膽
bnd 孚
bnhd 腬
bnkg 脡
bnkm 脠
bnkq 腱
bnkv 脠
bnmu 脆
bno 肷
bnom 胫
bnot 膯
bnsh 肠
bo 贝
boabu 赗
boae 腹
boaph 赐
bob 肭
bobgr 赒
boboo 赑
bocwa 赠
bodh 财
boff 赕
bog 脽
bogf 膲
bogs 臇
bohaf 鶏
bohe 贩
boher 赂
bohh 胗
bohio 贬
boibi 赙
boig 赃
boij 贼
boije 赇
boin 肣
boip 腍
boir 贻
bojka 赌
bojm 贮
bojnk 赎
bokb 贿
boln 则
boma 膾
bomb 腀
bomi 脍
bomm 脸
bommf 祭
bommv 赈
bomn 腧
bomo 臉
bompm 赋
bomrt 豋
bon 肐
boncr 赡
boog 脞
booju 罂
book 败
boomf 赊
bopd 胣
bopi 购
bopo 账
boqmb 䞍
borhu 贶
bos 胙
bosoy 赆
botf 膴
botxc 赚
bov 婴
bowy 脢
boymr 詧
boyr 贴
boytr 赔
boyvo 赅
bpa 脂
bpd 肔
bphr 脗
bpo 胀
bpr 朐
bpru 胞
bpu 肫
bpuk 胸
bq 用
bqdhe 皲
bqkk 腠
bqmb 腈
bqmf 膆
bqmv 脿
bqnl 郓
bqo 肤
bqu 甩
brc 胑
brhaf 鵰
brhg 脭
brmg 脭
brmk 脵
brob 脶
brog 雕
brrd 臊
brrs 腭
brse 腵
brsmm 翢
bse 脲
bsef 鵩
bshi 肕
bshu 脃
bsjr 腒
bsle 服
bsmh 膠
bsmj 臎
bsmv 脹
bsp 胒
bss 凸
bt 皿
bta 腊
btak 膜
btav 臈
btbc 腆
btbo 朦
btct 膉
btgr 膳
btis 臓
btk 朕
btoe 臒
btt 胼
bttr 膳
btwv 膿
btxc 膁
btyj 膵
btyv 罔
bu 目
buamj 睅
buamo 睼
buana 瞷
buang 瞤
buank 矙
buaph 睗
buav 眼
bub 眀
bubac 瞑
bubbq 瞬
bubd 睬
bubhf 鷪
bubjj 睴
bubmr 眮
bubsd 睜
bubuu 睍
bubuu 覞
bubuu 瞐
buc 貝
bucim 瞈
bucms 盻
bucnh 睇
bucsh 盼
budj 眜
budoo 睞
budt 睐
bufb 睄
bufbf 矘
bufbg 瞠
bufd 眯
bufdq 瞵
bufdv 䁖
buff 睒
bufh 眇
bufq 眫
bufqu 睠
bugce 睖
bugcg 睦
bugg 眭
bugit 瞌
buhdf 瞅
buhe 眅
buhfp 矁
buhgf 矄
buhhv 眽
buhio 眨
buhjm 睡
buhni 颻
buhnk 飖
buhok 矀
buhoo 瞛
buhpa 睧
buhpm 眡
buhqi 睋
buhqo 眣
buhqu 眊
buhsk 睙
buhu 見
buhus 矏
buhvf 繇
buhvi 眡
buhvp 眂
buhwj 睥
buhxe 瞍
buhxu 睨
buice 睃
buihq 眸
buikp 眬
buine 眿
buir 眙
buisk 睙
buitc 矌
bujbc 瞋
bujcm 瞾
bujd 眛
bujka 睹
bujlo 睫
bujmc 矉
bujmc 瞚
bujmm 睻
bujmu 睆
bujnu 睕
bujpn 矃
bujqr 瞎
bukcf 瞭
bukgg 睳
bukk 覐
bukkb 睎
bukn 眱
bulbk 眏
bulbu 眈
bullp 瞣
bullv 瞜
bulmc 瞶
bulmi 蜰
bulmo 眺
bulmo 瞆
bulwl 眒
bumb 腨
bumbg 矐
bumd 盱
bumgg 睚
bumig 眰
bumjk 瞰
bumls 眄
bummf 眎
bummi 眃
bummp 矖
bumn 盯
bumob 眪
bumwf 瞟
bumwj 瞫
bunau 睌
bunbe 矎
buncr 瞻
bunin 眵
bunir 眳
bunjk 瞰
bunme 睩
bunok 睽
bunot 瞪
bunsd 睁
buog 瞿
buog 膗
buoge 矍
buogf 瞧
buohh 眕
buomb 睔
buomm 睑
buomn 睮
buomo 瞼
buon 盵
buonk 睺
buoog 睉
bupa 眴
bupim 盷
bupu 盹
bupym 鹞
buqj 盽
